Instruções de Uso:,,,,TOTAL DO ESTOQUE ,,,,ESTOQUE/CATEGORIA,,%,ESTOQUE ANTERIOR,DIFERENÇA,,,
,ETIQUETA HAI SUSHI,EMBALAGEM,ROLO,2,"R$ 50,60","R$ 101,20",,,,,,,,,
,PANCETA,CARNES,KG,"3,062","R$ 33,56","R$ 102,76",,,,,,,,,
,COCA-COLA ZERO 310ML,BEBIDA,UND  ,36,"R$ 2,43","R$ 87,48",,,,,,,,,
,GUARANA ANTARTICA 350ML,BEBIDA,UND  ,37,"R$ 2,49","R$ 92,13",,,,,,,,,
,GUARANA ANTARTICA ZERO 350ML,BEBIDA,UND  ,36,"R$ 2,49","R$ 89,64",,,,,,,,,
,MOLHO MISSO RAMEN ,JAPONESES,UN,2,"R$ 44,18","R$ 88,36",,,,,,,,,
,SUCO PRATS LARANJA ,BEBIDA,UND  ,18,"R$ 4,66","R$ 83,88",,,,,,,,,
,SORVETE YOKO GENGIBRE,SOBREMESAS,UN,11,"R$ 7,60","R$ 83,60",,,,,,,,,
,MOLHO TONKATSU 5L ,JAPONESES,GL,1,"R$ 74,02","R$ 74,02",,,,,,,,,
,BROWNIE TRADICIONAL ,SOBREMESAS,UN,23,"R$ 3,20","R$ 73,60",,,,,,,,,
,HARUMAKI D CAMARÃO,JAPONESES,UN,10,"R$ 7,27","R$ 72,70",,,,,,,,,
,POTE MOLHO 30 ML,EMBALAGEM,UN,550,"R$ 0,13","R$ 71,50",,,,,,,,,
,STELLA ARTOIS LN,BEBIDA,UND  ,18,"R$ 3,92","R$ 70,56",,,,,,,,,
,SNICKERS,SOBREMESAS,UN,18,"R$ 3,79","R$ 68,22",,,,,,,,,
,TOMATE SECO,MERCEARIA,BL,2,"R$ 32,75","R$ 65,50",,,,,,,,,
,PEPSI 1L,BEBIDA,UND  ,18,"R$ 3,59","R$ 64,62",,,,,,,,,
,CENOURÃO,CEASA,KG,"9,37","R$ 6,60","R$ 61,84",,,,,,,,,
,PIMENTA SPIRACHA,JAPONESES,UN,1,"R$ 59,90","R$ 59,90",,,,,,,,,
,CHA GELADO LIMAO 300ML,BEBIDA,UND  ,22,"R$ 2,72","R$ 59,84",,,,,,,,,
,POTE LACRE M,EMBALAGEM,UN,40,"R$ 1,40","R$ 56,00",,,,,,,,,
,SUCO PRATS UVA,BEBIDA,UND  ,12,"R$ 4,66","R$ 55,92",,,,,,,,,
,SAKE MIRIM 5L,JAPONESES,GL,1,"R$ 54,41","R$ 54,41",,,,,,,,,
,SACOLAS PLASTICA,EMBALAGEM,UN,1000,"R$ 0,05","R$ 53,80",,,,,,,,,
,SORVETE YOKO MATCHA,SOBREMESAS,UN,7,"R$ 7,60","R$ 53,20",,,,,,,,,
,CAMARÃO (SUSHI),FRUTO DO MAR,UN,30,"R$ 1,70","R$ 51,00",,,,,,,,,
